,events_personId,prediction,hit_speed_mph,relative_distance_from_handle_to_hit,bat_max_speed_bhit,hit_spray_angle,hit_launch_angle,hit_speed_mph,cluster,cluster_class
7,485007791.0,79.64170861561654,67.0,0.5898586917326986,114.30878733851222,5.52727468463064,14.68951251117345,67.0,0,Fair
11,412098649.0,86.3279027673081,106.0,0.5674203189489319,152.22030563545206,13.967003391340644,-38.8460110325163,106.0,3,Good
16,558675411.0,90.51909918219891,89.0,0.7113248393162087,120.14426157229424,-38.0374892117465,-1.963628321279153,89.0,3,Good
19,545569723.0,57.60233801708776,57.0,0.5034108748703661,127.89722680688236,-43.02897725634916,44.09799528807388,57.0,2,Poor
21,174158975.0,79.49731173753385,96.0,0.5932878173860161,120.84625822541376,-27.593581623597437,9.22208122528584,96.0,0,Fair
26,654287703.0,95.61819994635808,92.0,0.7889896668023583,126.2423408840738,-42.53009895160732,-12.08345988444077,92.0,1,Excellent
29,590082479.0,98.22651733746308,104.0,0.781288162589652,137.01377859197012,23.52982854482063,21.25544122987206,104.0,1,Excellent
31,451871192.0,46.76089439806693,48.0,1.0098360288539423,114.40907999501049,68.65929045320291,-46.61798343420397,48.0,2,Poor
32,849653732.0,97.5912799217458,95.0,0.8374281346896679,131.05225616983276,-5.787394586506965,2.180144349402498,95.0,1,Excellent
33,451871192.0,78.60521054882604,86.0,0.6067369871100852,118.5060230308414,23.37104764688094,22.146544058762995,86.0,0,Fair
38,797957728.0,97.72395279362175,106.0,0.866048788942879,128.98039602822067,-1.394135651481465,-19.502661730618765,106.0,1,Excellent
42,617522563.0,94.76170458664578,97.0,0.7178533811970423,120.24870623528324,-31.60630636964518,-23.42307471672057,97.0,1,Excellent
46,590082479.0,66.14997300870978,95.0,1.0355355973294973,120.41718537214936,1.822119262560556,51.69827129686404,95.0,4,So-so
47,545569723.0,93.31669406698137,101.0,0.6679021205260758,124.68550675248038,-14.740892965682372,-24.541115205568342,101.0,1,Excellent
50,360906992.0,69.92289969686362,43.0,0.5314665370487074,119.9256622178198,-11.464767462556017,36.44369139973085,43.0,4,So-so
54,451871192.0,86.46237065125567,106.0,0.7753736908770407,120.95998498801006,39.5036739948105,4.516007535810633,106.0,3,Good
57,765710437.0,98.04260192935084,90.0,0.8038139387206508,124.17574297328493,-3.51667453625977,15.05267685437535,90.0,1,Excellent
64,765710437.0,82.52855549283123,98.0,1.0057837173983928,118.6007532546361,-9.583879756799162,8.18451083596646,98.0,0,Fair
68,451871192.0,90.78046838629254,89.0,0.7554391749349266,106.44571543971628,19.917633247757905,24.92796051588091,89.0,3,Good
91,485007791.0,77.78891385189978,89.0,0.849319014240258,118.08523271766023,0.9621663385658804,52.50514323809449,89.0,0,Fair
99,590082479.0,87.52556281851196,89.0,0.869919375682078,123.67768128416124,-38.49419571825655,8.339552014771366,89.0,3,Good
100,654287703.0,91.72068786397574,95.0,0.714525022370793,120.70036525594644,23.99232297410506,10.989716109978955,95.0,1,Excellent
101,618024297.0,87.62651883274695,87.0,0.7255542600360391,113.470343858044,12.247431472526344,35.01242787528982,87.0,3,Good
106,174158975.0,88.61829981676206,92.0,0.8308389405361477,123.19485136289302,-3.24489948632922,37.15626767966037,92.0,3,Good
107,618024297.0,95.6360639458965,97.0,0.7487952378688947,110.2803312367914,17.027253260536536,-4.525124548956398,97.0,1,Excellent
115,505414610.0,100.78878624090527,107.0,0.774244094951003,133.81659153159654,-10.079333920538112,10.644391662420958,107.0,1,Excellent
134,854238128.0,96.31507718583256,100.0,0.7218822538089499,130.65198930079487,8.044616185657032,19.753784056299057,100.0,1,Excellent
135,360906992.0,89.168288175582,78.0,0.7943163267081904,134.43958112616167,-15.335698574319007,80.50126564866065,78.0,3,Good
137,617522563.0,97.96000415959384,95.0,0.8240522958156745,132.17986085346485,-20.03980978482447,1.4165295383632968,95.0,1,Excellent
138,412098649.0,94.07424663393186,91.0,0.8637422996301958,127.78182573897467,-0.2321947612308645,6.309508162853319,91.0,1,Excellent
139,545569723.0,77.607534168851,58.0,0.9826752800761512,116.6098952822188,27.73311129110315,-4.422064489447696,58.0,0,Fair
142,719146721.0,89.26321752438626,89.0,0.6972974077973878,124.22079614418692,-36.67069484045832,2.315305034304445,89.0,3,Good
144,172804761.0,80.57428894113505,69.0,0.7542087207436892,117.11923644295418,-8.90028575082364,54.01262961956017,69.0,0,Fair
149,568527038.0,40.11448037818796,52.0,0.9805325187074077,101.14227780297372,10.928108548632736,-77.2369519904404,52.0,2,Poor
153,805688901.0,96.73020361684343,89.0,0.7034823626388303,123.68522695856508,-23.709081897993684,-13.35681878658366,89.0,1,Excellent
157,451871192.0,94.72453554126749,94.0,0.8361836494543174,124.20432384766772,-25.4275165317079,1.680446862594534,94.0,1,Excellent
